dockno,dockdt,orgncd,docksf,destcd,paybas,csgncd,csgnnm,csgecd,csgenm,Freight,svctax,cess,dkttot,thcno,thcdt,thcamt,pcamt,thcbr,certify_by,thcsf,Profit,Profit_PERc,Billno,bgndt,billamt,mrsno,mrsdt,mrsAMT,MRtype,Recovr_days,Realis_profit,fin_profit
0142112,4/19/2007 12:00:00 AM,BLRF,.,MAA,P03,S00520001,,W00160001,,254000.00,0.00,0.00,254050.00,BLRF/THC/0000006,4/19/2007 12:29:00 PM,0,0,BLRF,,.,254050,100,,,,,,,,,,
0142113,4/19/2007 12:00:00 AM,BLRF,.,MAA,P03,W00370001,,W00400001,,20000.00,612.00,12.00,20624.00,BLRF/THC/0000007,4/19/2007 1:37:00 PM,0,0,BLRF,,.,20624,100,,,,,,,,,,
0142114,4/19/2007 12:00:00 AM,BLRF,.,MAA,P03,S00520001,,W00230001,,25000.00,0.00,0.00,25000.00,BLRF/THC/0000007,4/19/2007 1:37:00 PM,0,0,BLRF,,.,25000,100,,,,,,,,,,
0142115,4/19/2007 12:00:00 AM,BLRF,.,MAA,P03,W00370001,,W00290001,,15600.00,0.00,0.00,15600.00,BLRF/THC/0000011,4/19/2007 1:42:00 PM,0,0,BLRF,,.,15600,100,,,,,,,,,,
0142122,4/19/2007 12:00:00 AM,BLRF,.,MAA,P02,W00720001,,8888,TTR,12000.00,0.00,0.00,12400.00,BLRF/THC/0000010,4/19/2007 1:41:00 PM,0,0,BLRF,,.,12400,100,,,,,,,,,,
0142123,4/19/2007 12:00:00 AM,BLRF,.,MAA,P02,W00370001,,8888,ABC,24000.00,0.00,0.00,25025.00,BLRF/THC/0000008,4/19/2007 1:39:00 PM,0,0,BLRF,,.,25025,100,,,,,,,,,,
0142124,4/19/2007 12:00:00 AM,BLRF,.,MAA,P02,S00520001,,8888,ABCD,1258.00,0.00,0.00,1308.00,BLRF/THC/0000008,4/19/2007 1:39:00 PM,0,0,BLRF,,.,1308,100,,,,,,,,,,
0013910,4/24/2007 12:00:00 AM,IXWA,.,PNQA,P03,8888,BISWAMBHAR TRADERS,8888,GLOBE ENTERPRISES,13500.00,0.00,0.00,13550.00,IXWA/THC/0000005,5/25/2007 11:57:00 AM,0,0,IXWA,,.,13550,100,,,,,,,,,,
0013903,4/21/2007 12:00:00 AM,IXWA,.,PNQA,P02,W00210001,,8888,TAURUS FLEXIBLES LTD,36000.00,0.00,0.00,36025.00,,,0,,,,,36025,100,,,,,,,,,,
0013904,4/22/2007 12:00:00 AM,IXWA,.,PNQA,P03,8888,H V AXLES LTD,8888,SEINUMERO MACHINE TOOLS,36000.00,0.00,0.00,36050.00,IXWA/THC/0000008,5/30/2007 3:09:00 PM,0,0,IXWA,,.,36050,100,,,,,,,,,,
