report_loc,loccode,locName,Paid_MR,Paid_amt,DEL_MR,DEL_amt,DUE_MR,DUE_amt,BILL_MR,BILL_amt,CAN_MR,CAN_amt
BMRO,AMD,Ahmedabad Branch,9,77380,14,129615,65,147846,0,0,4,13199
BMRO,BOMN,Mumbai (Andheri Branch),23,43548,77,578202,269,387835,0,0,3,7792
BMRO,BOMV,NEW MUMBAI (TURBHE),5,37589,7,171204,25,77895,0,0,2,933
BMRO,BRD,Baroda Frachise,1,2002,0,0,14,17592,0,0,3,2596
BMRO,BWD,Bhiwandi branch,6,6907,4,41240,77,153997,0,0,0,0
BMRO,DMN,DAMAN BRANCH,0,0,0,0,1,2978,0,0,0,0
BMRO,SRT,SURAT,9,20450,0,0,25,40653,0,0,0,0
BMRO,VPI,VAPI BRANCH,1,5500,1,76798,25,40046,0,0,0,0
CRHQ,BPL,Bhopal,9,3612,1,2787,47,65102,0,0,0,0
CRHQ,DWS,Dewas (branch),0,0,0,0,10,123475,0,0,5,15235
