DOC_KEY,DOC_SR_FROM,DOC_SR_TO,TOT_LEAF,DocketsBookedInThisRange,SeriesCode,DOCBRCD,SeriesComplete,updton,updton_str
14549,2012301,2012400,100,100,101,DEL,0,12/10/2007 1:30:41 PM,10 Dec 2007
14548,5300000,5300049,50,50,QW4,DEL,4,12/8/2007 11:26:42 AM,08 Dec 2007
14547,1543851,1543900,50,50,001,MAA,1,12/7/2007 2:55:12 PM,07 Dec 2007
14546,7000000,7000049,50,50,7,DEL,0,12/5/2007 3:04:33 PM,05 Dec 2007
14545,1560001,1560050,50,50,100,DELH,0,12/5/2007 12:45:54 PM,05 Dec 2007
14544,7000050,7000099,50,50,7000000,DEL,0,12/3/2007 3:45:20 PM,03 Dec 2007
14543,4300000,4300049,50,50,11,DEL,0,12/3/2007 2:46:06 PM,03 Dec 2007
14542,1020551,1020600,50,50,12,DEL,0,12/1/2007 11:52:40 AM,01 Dec 2007
14541,1020501,1020550,50,50,2,OKH,0,12/1/2007 11:46:32 AM,01 Dec 2007
14540,0033551,0033600,50,50,2,BLR,4,11/30/2007 6:33:39 PM,30 Nov 2007
14539,2510301,2510350,50,50,1,BLR,2,11/30/2007 4:52:49 PM,30 Nov 2007
14538,2510251,2510300,50,50,1,PNQ,0,11/30/2007 4:21:25 PM,30 Nov 2007
14537,2370001,2370050,50,50,1341,DEL,0,11/30/2007 3:16:55 PM,30 Nov 2007
14536,6700000,6700049,50,50,34,PNQ,0,11/28/2007 3:23:17 PM,28 Nov 2007
14535,7800000,7800049,50,50,78,BLR,0,11/28/2007 3:22:03 PM,28 Nov 2007
14534,2340001,2340050,50,50,22,BLR,14,11/28/2007 3:01:01 PM,28 Nov 2007
14533,8910000,8910049,50,50,199,BLR,0,11/28/2007 1:13:20 PM,28 Nov 2007
14532,3100000,3100049,50,50,12,AML,0,11/27/2007 6:59:21 PM,27 Nov 2007
14531,2300001,2300050,50,50,ABC1233,BLR,3,11/27/2007 11:57:48 AM,27 Nov 2007
14530,5560001,5560100,100,100,123,DEL,0,11/27/2007 11:26:06 AM,27 Nov 2007
14529,2200001,2200050,50,50,654,PNQ,0,11/24/2007 3:32:29 PM,24 Nov 2007
14528,2000000,2000099,100,100,KML,DEL,1,11/24/2007 2:30:48 PM,24 Nov 2007
14527,5540001,5540050,50,50,BKCODE,DEL,3,11/24/2007 9:42:11 AM,24 Nov 2007
14526,2100001,2100050,50,50,334,DEL,0,11/23/2007 7:05:38 PM,23 Nov 2007
14525,3210001,3210050,50,50,654,DEL,0,11/23/2007 6:50:50 PM,23 Nov 2007
14524,2513551,2513600,50,50,1,PNQ,10,11/21/2007 12:22:11 PM,21 Nov 2007
