THC_Number,routecd,routename,thc_date,thcbr,thcsf,certify_by,tr_time
BLR_/THC/0004975,S0564,BLR-PNQ,10/1/2007 12:00:00 AM,BLR,.,,0:0
DEL_/THC/0006536,S0565,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006537,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006538,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006539,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006540,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006541,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006542,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006543,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
DEL_/THC/0006544,R0173,DEL-PNQ-BLR,10/1/2007 12:00:00 AM,DEL,.,,0:0
