report_loc,sourcehb,locName,tot1,tot2,op_Tranship,op_Dly,subtract,frmdate,todate
BLHO,AMD,AHEMEDABAD,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,AMDH,AHEMEDABAD HUB,0,0,Y,N,0,August 02 2007,August 02 2007
BLHO,BLR,BANGALORE,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,BLRH,BANGALORE HUB,0,0,Y,N,0,August 02 2007,August 02 2007
BLHO,CCU,KOLKATTA,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,COK,COCHIN,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,DEL,NEW DELHI,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,DELH,NEW DELHI HUB,0,0,Y,N,0,August 02 2007,August 02 2007
BLHO,GGN,GURGAON,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,MAA,CHENNAI,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,MAAH,CHENNAI HUB,0,0,Y,N,0,August 02 2007,August 02 2007
BLHO,MAAO,CHENNAI ODA,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,MBI,MUMBAI,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,NDA,NOIDA,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,PDY,PONDICHERRY,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,PNQ,PUNE,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,VSH,VASHI,0,0,Y,Y,0,August 02 2007,August 02 2007
BLHO,VSHH,VASHI HUB,0,0,Y,N,,,
